Picture,,,,Cell Comparison,,,,,,,,,,,
SR NO,Category,Parameter,Unit,COSPOWER,EVE,HITHIUM,YOUNGY ENERGY,GREAT POWER,CORNEX, Tianneng Energy,REPT,NETC,CNET - Lishen,Gotion,Remarks
1,Commercial,Manufacturer/Model,-,COSPOWER / FP71173207A-314Ah,MB31,LFP71173207,RBA4F1,GSP71173204F,PF173 - 314A,TNS71173207B314,CB75,,,IFP72175207A-314Ah,
2,Commercial,Manufacturer Production Capacity (314Ah),GWh,,,,,,,,,,,,
3,Commercial,Manufacturer Plant Capacity,GWh,,,,,,,,,,,,
4,Commercial,Company age,Years,38,25,7,28,25,5,40,9,,29,20,
5,General,Refrence Image,-,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture,
6,General,Cell Chemistry,-,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,
7,General,Cell Format,-,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,
8,Electrical,Nominal Voltage,V,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,
9,Electrical,Rated Capacity,Ah,314,314,314,314,314,314,314,314,314,314,314,
10,Electrical,Energy,Wh,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,
11,Electrical,Charge Cutoff voltage,V,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,
12,Electrical,Discharge Cutoff voltage,V,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
13,Electrical,Cell RTE,%,≥ 94.5%,≥ 94.5%,≥ 94.5%,≥ 94.5%,≥ 94.5%,≥ 94.5%,≥ 94.5%,≥ 94%,≥ 94.5%,≥ 94%,≥ 94.5%,
14,Energy Density,Gravimetric Energy Density,Wh/kg,179.4285714,179.4285714,179.4285714,182.6909091,182.6909091,179.4285714,174.7478261,179.4285714,179.4285714,179.4285714,179.4285714,
15,Energy Density,Volumetric Energy Density,Wh/L,390.9727626,389.4573643,385,389.4573643,390.9727626,389.4573643,386.4615385,394.0392157,389.4573643,390.9727626,387.953668,
16,Power,Standard Charge / Discharge Current, C rate,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
17,Power,Internal Resistance (ACIR),mΩ,0.17 ± 0.05,0.18 ± 0.05,0.20 ± 0.05,0.195 ± 0.035,0.2 ± 0.05,0.19±0.05mΩ,≤0.25 mΩ,≤0.3 mΩ,≤0.25 mΩ,≤ 0.22 mΩ,≤ 0.25 mΩ,
18,Life time,Cycle Life,Cycles," 9000 cycle at
25±2℃ 
70%SOH"," 8000 cycle at
25±2℃ 
70%SOH","＞11000 cycle at  
25±2℃
 70%SOH","≥ 9000 cycle at
  25±2℃ 
70%SOH","≥ 8000 cycle at
25±2℃ 
70%SOH","9000 cycle at
25℃±2℃
70%SOH","≥ 8000 cycle at
25±2℃ 
70%SOH","≥ 8000 cycle at
25±2℃ 
70%SOH","≥ 8000 cycle at
25±2℃ 
70%SOH","8000 cycle at
25±2℃ 
70%SOH","＞12000 cycle at  
25±2℃
 70%SOH",
19,Life time,Cycle life given at DoD,%,100,100,100,100,100,100,100,100,100,100,100,
20,Life time,Service life,Years,,,12,,,12,,,,,12,Cornex submitted new data after meeting with them (Mr.jayvir visit china)
